SOURCE,TARGET,RELATION
AEGON TARGARYEN,ELIA MARTELL,SYN
AEGON TARGARYEN,RHAEGAR TARGARYEN,SYN
AEGON TARGARYEN,RHAENYS TARGARYEN,BRAT
AERYS TARGARYEN,DAENERYS TARGARYEN,OJCIEC
AERYS TARGARYEN,VISERYS TARGARYEN,OJCIEC
BRANDON STARK,EDDARD STARK,SYN
CASSANA ESTERMONT,RENLY BARATHEON,MATKA
CASSANA ESTERMONT,ROBERT BARATHEON,MATKA
CASSANA ESTERMONT,STANNIS BARATHEON,MATKA
CATLYN TURLY,EDDARD STARK,ŻONA
CERSEI LANNISTER,ROBERT BARATHEON,ŻONA
DAENERYS TARGARYEN,AERYS TARGARYEN,CÓRKA
DAENERYS TARGARYEN,RHAELLA TARGARYEN,MATKA
DAENERYS TARGARYEN,VISERYS TARGARYEN,SIOSTRA
DUNCAN TARGARYEN,DAERON TARGARYEN,BRAT
DUNCAN TARGARYEN,JAEHAERYS TARGARYEN,BRAT
DUNCAN TARGARYEN,JENNY OF OLDSTONES,ŻONA
DUNCAN TARGARYEN,RHAELLE TARGARYEN,BRAT
DUNCAN TARGARYEN,SHAERA TARGARYEN,BRAT
EDDARD STARK,BRANDON STARK,OJCIEC
ELIA MARTELL,AEGON TARGARYEN,MATKA
ELIA MARTELL,RHAEGAR TARGARYEN,ŻONA
JAEHAERYS TARGARYEN,AERYS TARGARYEN,OJCIEC
JAEHAERYS TARGARYEN,DAERON TARGARYEN,BRAT
JAEHAERYS TARGARYEN,DUNCAN TARGARYEN,BRAT
JAEHAERYS TARGARYEN,RHAELLA TARGARYEN,OJCIEC
JAEHAERYS TARGARYEN,RHAELLE TARGARYEN,BRAT
JAEHAERYS TARGARYEN,SHAERA TARGARYEN,BRAT
JAEHAERYS TARGARYEN,SHAERA TARGARYEN,MĄŻ
JOFFREY BARATHEON,CERSEI LANNISTER,SYN
JOFFREY BARATHEON,MYRCELLA BARATHEON,BRAT
JOFFREY BARATHEON,ROBERT BARATHEON,SYN
JOFFREY BARATHEON,TOMMEN BARATHEON,BRAT
MYRCELLA BARATHEON,CERSEI LANNISTER,CÓRKA
MYRCELLA BARATHEON,JOFFREY BARATHEON,SIOSTRA
